id,question,A,B,C,D,correctIndex,correctLetter,category,difficulty,tip
1,"What will this print?

console.log('Hello');",Hello,undefined,NaN,TypeError,0,A,console,easy,
2,"What will this print?

let a=3; let b=4; console.log(a+b);",undefined,7,NaN,TypeError,1,B,console,easy,
3,"What will this print?

let a=7; let b=3; console.log(a*b);",NaN,undefined,21,TypeError,2,C,console,easy,
4,"What will this print?

const s='hi'; console.log(s.toUpperCase());",TypeError,undefined,NaN,HI,3,D,console,easy,
5,"What will this print?

const s='HELLO'; console.log(s.toLowerCase());",hello,undefined,NaN,TypeError,0,A,console,easy,
6,"What will this print?

let n=9; console.log(Math.floor(n/2));",undefined,4,NaN,TypeError,1,B,console,medium,Math.floor drops the decimals.
7,"What will this print?

let n=2.5; console.log(Math.round(n));",NaN,undefined,3,TypeError,2,C,console,medium,Round to nearest integer.
8,"What will this print?

let x=5; x+=2; console.log(x);",TypeError,undefined,NaN,7,3,D,console,easy,
9,"What will this print?

let x=10; x/=4; console.log(Math.round(x));",3,undefined,NaN,TypeError,0,A,console,medium,10/4=2.5; then round.
10,"What will this print?

let s='8'; console.log(Number(s)+2);",undefined,10,NaN,TypeError,1,B,console,easy,
11,"What will this print?

let a=10; let b=3; console.log(a%b);",NaN,undefined,1,TypeError,2,C,console,easy,
12,"What will this print?

let p=2; let q=3; console.log(p**q);",TypeError,undefined,NaN,8,3,D,console,medium,** is exponentiation.
13,"What will this print?

const t='hey'; console.log(t.length);",3,undefined,NaN,TypeError,0,A,console,easy,
14,"What will this print?

console.log('Code ' + 2025);",undefined,Code 2025,NaN,TypeError,1,B,console,easy,
15,"What will this print?

console.log(`Sum: ${3+4}`);",NaN,undefined,Sum: 7,TypeError,2,C,console,easy,
16,"What will this print?

const arr=[10,20,30]; console.log(arr[0]);",TypeError,undefined,NaN,10,3,D,console,easy,
17,"What will this print?

const arr=[1,2,3]; console.log(arr.length);",3,undefined,NaN,TypeError,0,A,console,easy,
18,"What will this print?

const nums=[1,2,3]; console.log(nums.includes(2));",undefined,true,NaN,TypeError,1,B,console,easy,
19,"What will this print?

const nums=[1,2,3]; console.log(nums.indexOf(3));",NaN,undefined,2,TypeError,2,C,console,easy,
20,"What will this print?

const s='abc'; console.log(s[1]);",TypeError,undefined,NaN,b,3,D,console,easy,
21,"What will this print?

let x=1; x++; console.log(x);",2,undefined,NaN,TypeError,0,A,console,easy,
22,"What will this print?

let y=4; y*=3; console.log(y);",undefined,12,NaN,TypeError,1,B,console,easy,
23,"What will this print?

const nums=[1,2,3]; console.log(nums.map(n=>n*2)[1]);",NaN,undefined,4,TypeError,2,C,console,easy,
24,"What will this print?

const nums=[1,2,3,4]; console.log(nums.filter(n=>n%2===0).length);",TypeError,undefined,NaN,2,3,D,console,easy,
25,"What will this print?

const nums=[2,3,4]; console.log(nums.reduce((a,b)=>a+b,0));",9,undefined,NaN,TypeError,0,A,console,medium,Reduce accumulates into one value.
26,"What will this print?

const s='hello'; console.log(s.includes('ell'));",undefined,true,NaN,TypeError,1,B,console,easy,
27,"What will this print?

console.log(parseInt('12', 10)+1);",NaN,undefined,13,TypeError,2,C,console,easy,
28,"What will this print?

console.log(parseFloat('2.5')*2);",TypeError,undefined,NaN,5.0,3,D,console,easy,
29,"What will this print?

console.log(Math.max(3,9,4));",9,undefined,NaN,TypeError,0,A,console,easy,
30,"What will this print?

console.log(Math.min(3,9,4));",undefined,3,NaN,TypeError,1,B,console,easy,
31,"What will this print?

const name='Lee'; const x=2; console.log(`${name}-${x*3}`);",NaN,undefined,Lee-6,TypeError,2,C,console,easy,
32,"What will this print?

let n=5; let t=1; for (let i=1;i<=n;i++){ t*=i; } console.log(t);",TypeError,undefined,NaN,120,3,D,console,medium,Factorial loop: multiply 1..n.
33,"What will this print?

for (let i=0;i<3;i++){ if(i===1) continue; console.log(i); }","0,2",undefined,NaN,TypeError,0,A,console,medium,It skips 1; simulate by hand.
34,"What will this print?

const s='Code'; for (const ch of s) { if(ch==='o') { console.log(ch); break; } }",undefined,o,NaN,TypeError,1,B,console,medium,Break stops after printing 'o'.
35,"What will this print?

const a=[1,2]; const b=[3,4]; const c=a.concat(b); console.log(c[2]);",NaN,undefined,3,TypeError,2,C,console,easy,
36,"What will this print?

const a=['x','y','z']; console.log(a.slice(1,3).join(''));",TypeError,undefined,NaN,yz,3,D,console,easy,
37,"What will this print?

let n=9; console.log(Math.ceil(n/4));",3,undefined,NaN,TypeError,0,A,console,medium,Ceil rounds up.
38,"What will this print?

const s='7'; console.log(Number(s)+1);",undefined,8,NaN,TypeError,1,B,console,easy,
39,"What will this print?

const a=[2,4,6]; console.log(a.find(n=>n>4));",NaN,undefined,6,TypeError,2,C,console,medium,find returns the first match.
40,"What will this print?

const a=[1,2,3,4]; console.log(a.some(n=>n>3));",TypeError,undefined,NaN,true,3,D,console,easy,
41,"What will this print?

const a=[2,4,6]; console.log(a.every(n=>n%2===0));",true,undefined,NaN,TypeError,0,A,console,easy,
42,"What will this print?

const a=['a','b','c']; a.push('d'); console.log(a.length);",undefined,4,NaN,TypeError,1,B,console,easy,
43,"What will this print?

const a=['a','b','c']; a.pop(); console.log(a.join('-'));",NaN,undefined,a-b,TypeError,2,C,console,easy,
44,"What will this print?

const a=[1,2,3]; a.shift(); console.log(a[0]);",TypeError,undefined,NaN,2,3,D,console,easy,
45,"What will this print?

const a=[1,2,3]; a.unshift(0); console.log(a[0]);",0,undefined,NaN,TypeError,0,A,console,easy,
